molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50,cluster_dbscan
CHEMBL431859,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21,active,412.306,5.705420000000004,0.0,3.0,6.623423042943488,0
CHEMBL113637,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21,active,319.38300000000004,4.634500000000003,0.0,3.0,7.244125144327507,0
CHEMBL112021,Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21,active,321.81100000000004,4.587800000000002,0.0,3.0,7.267606240177032,0
CHEMBL41761,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,active,319.38300000000004,4.634500000000003,0.0,3.0,7.387216143280264,0
CHEMBL111868,Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,active,384.25200000000007,4.914100000000003,0.0,3.0,7.105130343254747,0
CHEMBL111888,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,active,398.27900000000005,5.397000000000003,0.0,3.0,7.285670240254767,0
CHEMBL112074,CCn1ccc2cc(C(c3ccccc3)n3ccnc3)ccc21,active,301.39300000000003,4.495400000000003,0.0,3.0,6.688246138944246,0
CHEMBL324326,N#Cc1ccc(Cn2cc(Cn3ccnc3)c3ccccc32)cc1,active,312.37600000000003,3.8060800000000015,0.0,4.0,7.301029995663981,0
CHEMBL1630261,C[C@]12CCCC=C1[C@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,288.43100000000004,3.879200000000004,1.0,2.0,7.301029995663981,0
CHEMBL169251,O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21,active,224.263,2.622200000000001,1.0,2.0,6.769551078621726,1
CHEMBL1629805,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,active,288.43100000000004,3.8808000000000025,1.0,2.0,7.309803919971486,0
CHEMBL304903,c1ccc2c(c1)CCC1C(c3ccncc3)C21,active,221.30300000000005,3.525000000000002,0.0,1.0,6.431798275933005,1
CHEMBL168434,O=C1/C(=C/c2c[nH]cn2)CCc2ccccc21,active,224.263,2.622200000000001,1.0,2.0,6.585026652029182,0
CHEMBL352645,c1ccc2c(c1)CCC1C(c3c[nH]cn3)C21,active,210.28000000000003,2.8531000000000004,1.0,1.0,6.221848749616356,0
CHEMBL1630274,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,active,304.43000000000006,2.851600000000001,2.0,3.0,7.508638306165727,1
CHEMBL1629804,C[C@]12CCCC=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,272.432,4.908400000000005,0.0,1.0,7.221848749616356,1
CHEMBL39661,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,active,330.47200000000004,4.238900000000004,0.0,3.0,6.096910013008056,0
CHEMBL3349856,C[C@]12CCC[C@@H](O)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,288.43100000000004,3.879200000000004,1.0,2.0,6.0655015487564325,1
CHEMBL1630267,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O,active,304.43000000000006,2.851600000000001,2.0,3.0,6.026872146400302,1
CHEMBL3349864,C[C@]12CCC[C@H](O)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,288.43100000000004,3.879200000000004,1.0,2.0,6.552841968657781,1
CHEMBL1629806,C[C@]12CCCC=C1[C@@H](O)C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,288.43100000000004,3.879200000000004,1.0,2.0,6.721246399047171,1
CHEMBL2111917,CC(=O)O[C@@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,330.46800000000013,4.450000000000005,0.0,3.0,6.154901959985743,1
CHEMBL2311169,C[C@]12CCCCC1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,272.432,4.908400000000005,0.0,1.0,6.180456064458132,1
CHEMBL38472,CCCCCCCCC1(c2ccncc2)CCC(=O)NC1=O,active,302.41800000000006,3.506600000000001,1.0,3.0,6.481486060122113,1
CHEMBL113739,C#CC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,active,310.437,3.946700000000003,0.0,2.0,6.726998727936262,0
CHEMBL113121,C#CC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,active,324.46400000000006,4.336800000000004,0.0,2.0,6.7544873321858505,1
CHEMBL10137,COc1ccc2c(c1)OC(c1ccccc1)/C(=C\c1ccncc1)C2=O,active,343.38200000000006,4.490200000000003,0.0,4.0,6.2076083105017466,0
CHEMBL113082,C#CC[C@@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12,active,324.46400000000006,4.336800000000004,0.0,2.0,7.508638306165727,1
CHEMBL10026,O=C1/C(=C/c2ccncc2)C(c2ccccc2)Oc2ccccc21,active,313.35600000000005,4.481600000000003,0.0,3.0,6.096910013008056,0
CHEMBL2105261,C#CC[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,310.437,4.090800000000003,0.0,2.0,7.250263684430939,1
CHEMBL109211,C#CC[C@@H]1CC2C(CCC3(C)C(=O)CCC23)C2CCC(=O)C=C21,active,310.437,3.946700000000003,0.0,2.0,6.560667306169737,1
CHEMBL27879,CCCCCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,356.5100000000001,4.426100000000004,1.0,3.0,6.647817481888637,1
CHEMBL281947,Nc1ccc(C23CC2C(=O)N(CC2CCCCC2)C3=O)cc1,active,298.386,2.475600000000001,1.0,3.0,8.301029995663981,0
CHEMBL27546,Nc1ccc(C23CC(C2)C(=O)N(CC2CCCCC2)C3=O)cc1,active,312.413,2.865700000000001,1.0,3.0,7.013228265733755,0
CHEMBL286506,CC(C)CN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,272.348,1.9414,1.0,3.0,7.207608310501746,0
CHEMBL26651,CCCCCN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,active,272.348,2.0855,1.0,3.0,7.638272163982407,0
CHEMBL27591,CCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,286.37500000000006,2.475600000000001,1.0,3.0,7.508638306165727,0
CHEMBL28173,CCCCCCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,314.4290000000001,3.2558000000000007,1.0,3.0,7.309803919971486,0
CHEMBL28290,COc1ccc(CN2C(=O)C3CC(c4ccc(N)cc4)(C3)C2=O)cc1,active,336.3910000000001,2.4942,1.0,4.0,6.619788758288394,0
CHEMBL27467,Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1,active,298.386,2.618100000000001,1.0,3.0,7.886056647693163,0
CHEMBL27698,CCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,active,258.321,1.6954,1.0,3.0,6.954677021213342,0
CHEMBL29482,N#Cc1ccc(C(c2ccc(C#N)cc2)n2ccnc2)cc1,active,284.322,3.2641600000000013,0.0,4.0,8.455931955649724,0
CHEMBL349704,CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,344.5200000000001,4.740700000000005,0.0,3.0,7.920818753952375,0
CHEMBL31760,C=C(c1ccc(C#N)cc1)n1ccnc1,active,195.225,2.2737799999999995,0.0,3.0,9.154901959985745,1
CHEMBL349963,C[C@]12CC=C3C(CCC4=CC(=O)CC[C@@]43CCSc3ccccc3)C1CCC2=O,active,406.5910000000001,6.170000000000006,0.0,3.0,6.3979400086720375,1
CHEMBL353571,CSCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,390.6140000000002,5.431400000000005,0.0,4.0,6.2441251443275085,1
CHEMBL164993,CSC(=O)C[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,active,360.5190000000002,4.347200000000004,0.0,4.0,7.376750709602099,1
CHEMBL165218,CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,358.5470000000002,5.130800000000005,0.0,3.0,6.060480747381382,1
CHEMBL350713,C#CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,354.5150000000002,4.701600000000004,0.0,3.0,6.481486060122113,1
CHEMBL31456,N#Cc1ccc(/C(=N\c2ccc(Br)cc2)n2ccnc2)cc1,active,351.207,4.143880000000003,0.0,4.0,8.113509274827518,0
CHEMBL31215,N#Cc1ccc([C@@H]2CCCc3cncn32)cc1,active,223.279,2.680480000000001,0.0,3.0,8.494850021680094,0
CHEMBL350074,CSCC[C@]12CCC(=O)C=C1CCC1C2CC[C@]2(C)C(=O)CCC12,active,346.5360000000001,4.820600000000004,0.0,3.0,7.657577319177793,1
CHEMBL164543,C=CSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,356.5310000000002,5.254400000000005,0.0,3.0,7.301029995663981,1
CHEMBL285809,N#Cc1ccc(C2(c3ccc(C#N)cc3)CCCc3cncn32)cc1,active,324.38699999999994,3.754660000000002,0.0,4.0,6.632644078973981,0
CHEMBL287677,N#Cc1ccc([C@H]2CCCc3cncn32)cc1,active,223.279,2.680480000000001,0.0,3.0,6.167491087293763,0
CHEMBL31224,N#Cc1ccc2c(c1)CCC=C2n1ccnc1,active,221.263,2.59018,0.0,3.0,8.537602002101044,0
CHEMBL351526,C=CCSCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12,active,370.55800000000016,5.296900000000005,0.0,3.0,6.568636235841013,1
